id,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011102,183.0,108.0,26.0,20.0,16.0,7.0,6.0,0.0,355.0,91.0,7.0,84.0,174.0,0.0,0.0,1.0,2.0,2.0,6.0,82.0,172.0
01011103,2970.0,168.0,623.0,1195.0,600.0,230.0,87.0,546.0,9617.0,2255.0,241.0,1844.0,2421.0,17.0,19.0,38.0,84.0,76.0,186.0,1741.0,2328.0
01011104,2014.0,206.0,413.0,620.0,517.0,179.0,55.0,182.0,6367.0,1504.0,133.0,1317.0,1622.0,2.0,3.0,3.0,4.0,6.0,128.0,1311.0,1614.0
01011105,1224.0,47.0,251.0,371.0,323.0,156.0,52.0,185.0,4231.0,1203.0,51.0,1165.0,1175.0,0.0,0.0,1.0,1.0,2.0,50.0,1164.0,1173.0
01011201,1648.0,0.0,319.0,204.0,629.0,478.0,8.0,77.0,6281.0,1247.0,90.0,1095.0,1520.0,6.0,9.0,0.0,0.0,0.0,84.0,1086.0,1514.0
01011202,413.0,11.0,71.0,150.0,96.0,61.0,16.0,76.0,1464.0,428.0,30.0,283.0,305.0,2.0,3.0,2.0,5.0,4.0,26.0,275.0,299.0
01011203,723.0,44.0,186.0,180.0,184.0,94.0,24.0,96.0,2402.0,666.0,49.0,489.0,558.0,6.0,21.0,2.0,5.0,4.0,41.0,462.0,548.0
01011204,5051.0,343.0,1149.0,1476.0,1313.0,506.0,140.0,951.0,16642.0,3793.0,182.0,3613.0,4892.0,19.0,51.0,16.0,47.0,32.0,147.0,3515.0,4841.0
01011301,4590.0,271.0,1196.0,1696.0,845.0,425.0,93.0,487.0,14301.0,3556.0,294.0,3153.0,4078.0,16.0,23.0,10.0,21.0,20.0,268.0,3109.0,4042.0
01011302,7226.0,272.0,1361.0,2275.0,2054.0,882.0,259.0,993.0,24992.0,5821.0,663.0,5286.0,6643.0,28.0,33.0,14.0,40.0,28.0,621.0,5212.0,6587.0
01011303,6172.0,632.0,1664.0,1557.0,1743.0,457.0,89.0,221.0,18643.0,3792.0,280.0,3524.0,5856.0,3.0,6.0,6.0,12.0,12.0,271.0,3506.0,5841.0
01011304,4787.0,25.0,689.0,1643.0,1793.0,616.0,11.0,85.0,16735.0,3098.0,195.0,3096.0,4785.0,0.0,0.0,0.0,0.0,0.0,195.0,3096.0,4785.0
01011305,5598.0,213.0,1279.0,2390.0,1159.0,494.0,53.0,75.0,17440.0,3528.0,251.0,3447.0,5512.0,2.0,2.0,1.0,1.0,2.0,248.0,3444.0,5508.0
01011306,5215.0,323.0,1103.0,1406.0,1679.0,611.0,61.0,240.0,17124.0,3507.0,270.0,3385.0,4911.0,11.0,17.0,3.0,6.0,6.0,256.0,3362.0,4894.0
01011401,9801.0,443.0,2443.0,3518.0,2430.0,667.0,201.0,754.0,30898.0,7353.0,727.0,7133.0,9528.0,40.0,60.0,9.0,18.0,18.0,678.0,7054.0,9470.0
01011402,7484.0,300.0,1529.0,2901.0,2042.0,485.0,142.0,668.0,24174.0,5424.0,595.0,5321.0,7354.0,12.0,13.0,4.0,8.0,8.0,579.0,5300.0,7334.0
